"category","changed","text","text_wrong","text_EN","注記"
"アイテム","Yes","『アンバサダー』","アンバサダー","The Ambassador",
"アイテム","Yes","『ジャッジメント』","判決","Judgement",
"アイテム","Yes","『スカルペル』","スカルペル","Scalpel",
"アイテム","Yes","『センチネル』","センチネル","Sentinel",
"アイテム","Yes","『ティルフィング』","ティルフィング","Tyrhung",
"アイテム","Yes","『ドーンブレイカー』","ドーンブレイカー","Dawnbreaker",
"アイテム","Yes","『ブラックハート』","ブラックハート","Black Heart",
"アイテム","Yes","『命を狩るもの』","リーパー","Reaper",
"アイテム","Yes","『春の砂嵐』","カムシーン","Khamseen",
"アイテム","Yes","『正義の執行者』","ジャスティシアー","Justicier",
"アイテム","Yes","『退役勧告』","殿堂入り","Early Retirement",
"アイテム","Yes","『雪崩』","アバランチ","Avalanche",
"アイテム","Yes","『風の怒り』","風の怒り","Winds Fury",
"アイテム","Yes","『騎士落とし』","騎士のフォール","Knight's Fall",
"アイテム","Yes","『骨砕き』","ボーンクラッシャー","Bone Crusher",
"アイテム","No","あつらえのドレス","あつらえのドレス","Tailored Dress",
"アイテム","Yes","くびれた棍棒","こぶ付きこん棒","Knobbed Club",
"アイテム","Yes","くびれた穂先の槍","こぶ型の頭の槍","Knob Headed Spear",
"アイテム","No","つるはし","つるはし","Pickaxe",
"アイテム","Yes","ゆったりした革の上着","スローヴェン革","Sloven Leather",
"アイテム","No","ゆるいヘッドスカーフ","ゆるいヘッドスカーフ","Loose Head Scarf",
"アイテム","Yes","わずかな鎬のあるフリッサ","緩い鎬付きフリッサ","Slightly Ridged Flyssa",
"アイテム","Yes","アサリガト","アサリガット","Asaligat",
"アイテム","Yes","アスカル馬","アスカル","Askarat",
"アイテム","No","アダルガ","アダルガ","Adarga",
"アイテム","Yes","アミールの鷹の軍団旗","首長の鷹の旗","Banner of Emir's Hawk",
"アイテム","No","イチイの弓","イチイの弓","Yew Bow",
"アイテム","Yes","ウォーキャメル","軍用ラクダ","War Camel",
"アイテム","Yes","ウォーホース","軍馬","War Horse",
"アイテム","Yes","ウォーレザー","ウォーレーザー","Warrazor","英文の時点で名前が重複している"
"アイテム","Yes","ウォーレザー","ウォーレイザー","War Razor","英文の時点で名前が重複している"
"アイテム","No","エプロン付きのドレス","エプロン付きのドレス","Aproned Dress",
"アイテム","No","エプロン付きの女性用コート","エプロン付きの女性用コート","Aproned Feminine Coat",
"アイテム","No","エンベロープドレス","エンベロープドレス","Envelope Dress",
"アイテム","No","カタフラクトのメイス","カタフラクトのメイス","Cataphract Mace",
"アイテム","Yes","カタフラクトの目出し兜","カタフラクトのゴーグル付き兜","Goggled Cataphract Helmet",
"アイテム","Yes","カタフラクトの馬上槍","カタフラクトのランス","Cataphract Lance",
"アイテム","Yes","カタフラクトの高貴な兜","王室のカタフラクトの兜","Royal Cataphract Helmet",
"アイテム","Yes","カタフラクトの鱗半馬鎧","カタフラクトの鱗状の半身馬鎧","Cataphract Half Scale Barding",
"アイテム","Yes","カタフラクトの鱗馬鎧","カタフラクトの鱗状の馬鎧","Cataphract Scale Barding",
"アイテム","Yes","カラハン馬","カラハーン","Karahan",
"アイテム","No","カルラディアのメイス","カルラディアのメイス","Calradic Mace",
"アイテム","No","ガチョウ","ガチョウ","Goose",
"アイテム","Yes","ギャロガイチの斧","ギャロガイチアックス","Galloglaich Axe",
"アイテム","Yes","ギャロガイチの練習用の斧","練習用ギャロガイチアックス","Sparring Galloglaich Axe",
"アイテム","No","ケルトの厳寒","ケルトの厳寒","Celtic Frost",
"アイテム","No","ケープ付き肩甲","ケープ付き肩甲","Pauldrons with Cape",
"アイテム","Yes","コッシア馬","コシアン","Cossian",
"アイテム","No","コルセット付きドレス","コルセット付きドレス","Corseted Dress",
"アイテム","No","サイフォス","サイフォス","Xiphos",
"アイテム","Yes","サクス","スクラマサクス","Seax","「スクラマ」ってどっから湧いてきたの?"""
"アイテム","No","ショール","ショール","Shawl",
"アイテム","Yes","ジクリオン","ツクリオン","Tzikourion",
"アイテム","Yes","ステップ馬","草原地帯の馬","Steppe Horse",
"アイテム","No","スルタンの鷹の旗","スルタンの鷹の旗","Banner of Sultan's Eagle",
"アイテム","No","スレッジハンマー","スレッジハンマー","Sledgehammer",
"アイテム","No","タマスケン鋼のカスカラ","タマスケン鋼のカスカラ","Thamaskene Steel Kaskara",
"アイテム","No","タマスケン鋼のスパタ","タマスケン鋼のスパタ","Thamaskene Steel Spatha",
"アイテム","Yes","タマスケン鋼のスパティオン","タマスケン鋼のスパシオン","Thamaskene Steel Spathion",
